epoch,lr-Adam,step,train/loss,train/reward,val/reward
,0.0001,49,,,
0,,49,-2.418355941772461,-8.333826065063477,
,0.0001,99,,,
0,,99,-1.9368183612823486,-7.71168851852417,
,0.0001,149,,,
0,,149,-1.3882105350494385,-7.493527889251709,
0,,156,,,-6.980171203613281
,0.0001,199,,,
1,,199,-1.2516895532608032,-7.362853050231934,
,0.0001,249,,,
1,,249,-1.2594425678253174,-7.223401069641113,
,0.0001,299,,,
1,,299,-1.0912728309631348,-7.147189140319824,
1,,313,,,-6.836421012878418
,0.0001,349,,,
2,,349,-1.1782305240631104,-7.133460998535156,
,0.0001,399,,,
2,,399,-1.094050645828247,-7.118305683135986,
,0.0001,449,,,
2,,449,-1.1204917430877686,-7.0590715408325195,
2,,470,,,-6.755580425262451
,0.0001,499,,,
3,,499,-1.1631429195404053,-7.007349014282227,
,0.0001,549,,,
3,,549,-1.1434102058410645,-6.979798316955566,
,0.0001,599,,,
3,,599,-0.9700736999511719,-6.948052883148193,
3,,627,,,-6.666610240936279
,0.0001,649,,,
4,,649,-1.1001180410385132,-6.903220176696777,
,0.0001,699,,,
4,,699,-0.9119918346405029,-6.845463752746582,
,0.0001,749,,,
4,,749,-1.2306005954742432,-6.843254089355469,
4,,784,,,-6.606627464294434
,0.0001,799,,,
5,,799,-0.7641435861587524,-6.826622486114502,
,0.0001,849,,,
5,,849,-0.7892042398452759,-6.768375396728516,
,0.0001,899,,,
5,,899,-0.7524128556251526,-6.768699645996094,
5,,941,,,-6.547859191894531
,0.0001,949,,,
6,,949,-0.818792998790741,-6.753432750701904,
,0.0001,999,,,
6,,999,-0.8351606130599976,-6.7324676513671875,
,0.0001,1049,,,
6,,1049,-0.665929913520813,-6.7022905349731445,
6,,1098,,,-6.510084629058838
,0.0001,1099,,,
7,,1099,-0.6883596181869507,-6.706772804260254,
,0.0001,1149,,,
7,,1149,-0.6180366277694702,-6.647497177124023,
,0.0001,1199,,,
7,,1199,-0.7140151262283325,-6.6345109939575195,
,0.0001,1249,,,
7,,1249,-0.6312218308448792,-6.584839820861816,
7,,1255,,,-6.466678142547607
,0.0001,1299,,,
8,,1299,-0.6013636589050293,-6.613557815551758,
,0.0001,1349,,,
8,,1349,-0.570176899433136,-6.587674140930176,
,0.0001,1399,,,
8,,1399,-0.6513538360595703,-6.56815242767334,
8,,1412,,,-6.447412967681885
,0.0001,1449,,,
9,,1449,-0.5327910780906677,-6.5308837890625,
,0.0001,1499,,,
9,,1499,-0.5718023777008057,-6.57540225982666,
,0.0001,1549,,,
9,,1549,-0.5802291631698608,-6.522942543029785,
9,,1569,,,-6.407683849334717
,0.0001,1599,,,
10,,1599,-0.604267954826355,-6.553502082824707,
,0.0001,1649,,,
10,,1649,-0.5733098983764648,-6.514604568481445,
,0.0001,1699,,,
10,,1699,-0.48913174867630005,-6.518840789794922,
10,,1726,,,-6.389125347137451
,0.0001,1749,,,
11,,1749,-0.5648003816604614,-6.477386951446533,
,0.0001,1799,,,
11,,1799,-0.5555699467658997,-6.525336265563965,
,0.0001,1849,,,
11,,1849,-0.4915893077850342,-6.528846263885498,
11,,1883,,,-6.368443965911865
,0.0001,1899,,,
12,,1899,-0.4583183526992798,-6.474766254425049,
,0.0001,1949,,,
12,,1949,-0.5180984735488892,-6.490474700927734,
,0.0001,1999,,,
12,,1999,-0.39819198846817017,-6.445518970489502,
12,,2040,,,-6.350554466247559
,0.0001,2049,,,
13,,2049,-0.4234507083892822,-6.439061164855957,
,0.0001,2099,,,
13,,2099,-0.3906860649585724,-6.493139266967773,
,0.0001,2149,,,
13,,2149,-0.3797369599342346,-6.476963043212891,
13,,2197,,,-6.337441444396973
,0.0001,2199,,,
14,,2199,-0.4146517217159271,-6.44852352142334,
,0.0001,2249,,,
14,,2249,-0.39022356271743774,-6.445643424987793,
,0.0001,2299,,,
14,,2299,-0.3854624629020691,-6.465868949890137,
,0.0001,2349,,,
14,,2349,-0.36435967683792114,-6.438701629638672,
14,,2354,,,-6.325648307800293
,0.0001,2399,,,
15,,2399,-0.36456653475761414,-6.432150840759277,
,0.0001,2449,,,
15,,2449,-0.39855268597602844,-6.391773223876953,
,0.0001,2499,,,
15,,2499,-0.35314351320266724,-6.398622512817383,
15,,2511,,,-6.3122124671936035
,0.0001,2549,,,
16,,2549,-0.32659977674484253,-6.403398036956787,
,0.0001,2599,,,
16,,2599,-0.32515770196914673,-6.390287399291992,
,0.0001,2649,,,
16,,2649,-0.33896228671073914,-6.401716232299805,
16,,2668,,,-6.308761119842529
,0.0001,2699,,,
17,,2699,-0.34095853567123413,-6.345259189605713,
,0.0001,2749,,,
17,,2749,-0.37637507915496826,-6.40525484085083,
,0.0001,2799,,,
17,,2799,-0.37849459052085876,-6.381557941436768,
17,,2825,,,-6.304681777954102
,0.0001,2849,,,
18,,2849,-0.3034617304801941,-6.373304843902588,
,0.0001,2899,,,
18,,2899,-0.3666480779647827,-6.384520053863525,
,0.0001,2949,,,
18,,2949,-0.32042306661605835,-6.381952285766602,
18,,2982,,,-6.285131931304932
,0.0001,2999,,,
19,,2999,-0.36191797256469727,-6.333009243011475,
,0.0001,3049,,,
19,,3049,-0.35637804865837097,-6.379637241363525,
,0.0001,3099,,,
19,,3099,-0.3442354202270508,-6.3434038162231445,
19,,3139,,,-6.278862476348877
,0.0001,3149,,,
20,,3149,-0.35400861501693726,-6.364141941070557,
,0.0001,3199,,,
20,,3199,-0.30941563844680786,-6.3490800857543945,
,0.0001,3249,,,
20,,3249,-0.2920816242694855,-6.330735206604004,
20,,3296,,,-6.264563083648682
,0.0001,3299,,,
21,,3299,-0.3314535617828369,-6.312168121337891,
,0.0001,3349,,,
21,,3349,-0.2785068452358246,-6.343371868133545,
,0.0001,3399,,,
21,,3399,-0.3601001501083374,-6.323202610015869,
,0.0001,3449,,,
