epoch,lr-Adam,step,train/loss,train/reward,val/reward
,0.0001,49,,,
0,,49,-276.8634033203125,-8.560489654541016,
,0.0001,99,,,
0,,99,-242.7684783935547,-7.8428778648376465,
,0.0001,149,,,
0,,149,-210.2914276123047,-7.561045169830322,
0,,156,,,-6.952858924865723
,0.0001,199,,,
1,,199,-226.7715606689453,-7.405665397644043,
,0.0001,249,,,
1,,249,-207.11587524414062,-7.299354076385498,
,0.0001,299,,,
1,,299,-207.43899536132812,-7.190451145172119,
1,,313,,,-6.7432708740234375
,0.0001,349,,,
2,,349,-192.173583984375,-7.062167167663574,
,0.0001,399,,,
2,,399,-197.38528442382812,-7.04443359375,
,0.0001,449,,,
2,,449,-191.54180908203125,-6.997180461883545,
2,,470,,,-6.616681098937988
,0.0001,499,,,
3,,499,-186.25057983398438,-6.951076030731201,
,0.0001,549,,,
3,,549,-178.928955078125,-6.8885345458984375,
,0.0001,599,,,
3,,599,-188.4555206298828,-6.898871421813965,
3,,627,,,-6.555076599121094
,0.0001,649,,,
4,,649,-167.3207244873047,-6.829860687255859,
,0.0001,699,,,
4,,699,-172.96209716796875,-6.809134483337402,
,0.0001,749,,,
4,,749,-169.7156219482422,-6.766123294830322,
4,,784,,,-6.504297733306885
,0.0001,799,,,
5,,799,-156.909912109375,-6.759097099304199,
,0.0001,849,,,
5,,849,-170.8140411376953,-6.759646415710449,
,0.0001,899,,,
5,,899,-158.536376953125,-6.734423637390137,
5,,941,,,-6.454949855804443
,0.0001,949,,,
6,,949,-158.5319366455078,-6.701941967010498,
,0.0001,999,,,
6,,999,-149.14662170410156,-6.66363525390625,
,0.0001,1049,,,
6,,1049,-139.6876678466797,-6.58418083190918,
6,,1098,,,-6.419797420501709
,0.0001,1099,,,
7,,1099,-151.16961669921875,-6.607142448425293,
,0.0001,1149,,,
7,,1149,-136.83682250976562,-6.600407123565674,
,0.0001,1199,,,
7,,1199,-126.36962890625,-6.620208740234375,
,0.0001,1249,,,
7,,1249,-128.3746337890625,-6.559395790100098,
7,,1255,,,-6.386324882507324
,0.0001,1299,,,
8,,1299,-123.30774688720703,-6.531548976898193,
,0.0001,1349,,,
8,,1349,-128.38442993164062,-6.489814758300781,
,0.0001,1399,,,
8,,1399,-112.32221221923828,-6.4956374168396,
8,,1412,,,-6.3592915534973145
,0.0001,1449,,,
9,,1449,-109.36426544189453,-6.464601516723633,
,0.0001,1499,,,
9,,1499,-110.92694854736328,-6.44633674621582,
,0.0001,1549,,,
9,,1549,-107.63219451904297,-6.460728168487549,
9,,1569,,,-6.325486660003662
,0.0001,1599,,,
10,,1599,-123.22354125976562,-6.4562530517578125,
,0.0001,1649,,,
10,,1649,-107.82493591308594,-6.45752477645874,
,0.0001,1699,,,
10,,1699,-100.18672180175781,-6.456408500671387,
10,,1726,,,-6.304914474487305
,0.0001,1749,,,
11,,1749,-119.89382934570312,-6.436458587646484,
,0.0001,1799,,,
11,,1799,-105.96044921875,-6.417290687561035,
,0.0001,1849,,,
11,,1849,-115.39869689941406,-6.392496585845947,
11,,1883,,,-6.2847819328308105
,0.0001,1899,,,
12,,1899,-100.97918701171875,-6.410599708557129,
,0.0001,1949,,,
12,,1949,-97.87075805664062,-6.378728866577148,
,0.0001,1999,,,
12,,1999,-89.04171752929688,-6.3730974197387695,
12,,2040,,,-6.26956844329834
,0.0001,2049,,,
13,,2049,-99.9708251953125,-6.35959005355835,
,0.0001,2099,,,
13,,2099,-95.93109893798828,-6.404008865356445,
,0.0001,2149,,,
13,,2149,-96.44581604003906,-6.337337493896484,
13,,2197,,,-6.259617328643799
,0.0001,2199,,,
14,,2199,-85.41581726074219,-6.341320514678955,
,0.0001,2249,,,
14,,2249,-88.35862731933594,-6.315290927886963,
,0.0001,2299,,,
14,,2299,-96.39683532714844,-6.358307361602783,
,0.0001,2349,,,
14,,2349,-95.48252868652344,-6.345670700073242,
14,,2354,,,-6.245815277099609
,0.0001,2399,,,
15,,2399,-88.38140869140625,-6.332737445831299,
,0.0001,2449,,,
15,,2449,-85.85037994384766,-6.320436000823975,
,0.0001,2499,,,
15,,2499,-88.06329345703125,-6.318808555603027,
15,,2511,,,-6.23536491394043
,0.0001,2549,,,
16,,2549,-93.2420883178711,-6.303582668304443,
,0.0001,2599,,,
16,,2599,-89.48037719726562,-6.287623405456543,
,0.0001,2649,,,
16,,2649,-81.22132110595703,-6.334842205047607,
16,,2668,,,-6.223130226135254
,0.0001,2699,,,
17,,2699,-84.88184356689453,-6.329432964324951,
,0.0001,2749,,,
17,,2749,-80.04049682617188,-6.319246292114258,
,0.0001,2799,,,
17,,2799,-84.73887634277344,-6.323399543762207,
17,,2825,,,-6.215409278869629
,0.0001,2849,,,
18,,2849,-88.29967498779297,-6.3196282386779785,
,0.0001,2899,,,
18,,2899,-86.51936340332031,-6.323524475097656,
,0.0001,2949,,,
18,,2949,-92.18660736083984,-6.274801254272461,
18,,2982,,,-6.2064690589904785
,0.0001,2999,,,
19,,2999,-82.14228057861328,-6.279026985168457,
,0.0001,3049,,,
19,,3049,-87.56491088867188,-6.266844272613525,
,0.0001,3099,,,
19,,3099,-77.52513122558594,-6.286869525909424,
19,,3139,,,-6.201266765594482
,0.0001,3149,,,
20,,3149,-87.26411437988281,-6.269381046295166,
,0.0001,3199,,,
20,,3199,-81.83568572998047,-6.29905891418457,
,0.0001,3249,,,
20,,3249,-86.0200424194336,-6.263652324676514,
