epoch,lr-Adam,step,train/loss,train/reward,val/reward
,0.0001,49,,,
0,,49,-2.5596556663513184,-8.586494445800781,
,0.0001,99,,,
0,,99,-1.9636321067810059,-7.809094429016113,
,0.0001,149,,,
0,,149,-1.8792859315872192,-7.522377967834473,
0,,156,,,-6.920180797576904
,0.0001,199,,,
1,,199,-1.8726482391357422,-7.385014057159424,
,0.0001,249,,,
1,,249,-1.4857814311981201,-7.256263732910156,
,0.0001,299,,,
1,,299,-1.6699033975601196,-7.227725505828857,
1,,313,,,-6.756977081298828
,0.0001,349,,,
2,,349,-1.3262337446212769,-7.064320087432861,
,0.0001,399,,,
2,,399,-1.289715051651001,-7.051339149475098,
,0.0001,449,,,
2,,449,-1.238915205001831,-7.02811861038208,
2,,470,,,-6.670328617095947
,0.0001,499,,,
3,,499,-1.2674239873886108,-6.979924201965332,
,0.0001,549,,,
3,,549,-1.1293907165527344,-6.925754547119141,
,0.0001,599,,,
3,,599,-1.2358113527297974,-6.922811031341553,
3,,627,,,-6.593446731567383
,0.0001,649,,,
4,,649,-1.077833890914917,-6.849849224090576,
,0.0001,699,,,
4,,699,-1.069478988647461,-6.849154949188232,
,0.0001,749,,,
4,,749,-1.0093845129013062,-6.78701114654541,
4,,784,,,-6.5468268394470215
,0.0001,799,,,
5,,799,-1.021317720413208,-6.8014140129089355,
,0.0001,849,,,
5,,849,-0.952904462814331,-6.790539264678955,
,0.0001,899,,,
5,,899,-0.8732094764709473,-6.753157138824463,
5,,941,,,-6.5011749267578125
,0.0001,949,,,
6,,949,-0.9240903854370117,-6.740049362182617,
,0.0001,999,,,
6,,999,-0.9000948071479797,-6.705469608306885,
,0.0001,1049,,,
6,,1049,-0.783928632736206,-6.642396450042725,
6,,1098,,,-6.467248916625977
,0.0001,1099,,,
7,,1099,-0.7358105182647705,-6.6538166999816895,
,0.0001,1149,,,
7,,1149,-0.7306368350982666,-6.656160354614258,
,0.0001,1199,,,
7,,1199,-0.6285501718521118,-6.67475700378418,
,0.0001,1249,,,
7,,1249,-0.6666454076766968,-6.6158952713012695,
7,,1255,,,-6.439828872680664
,0.0001,1299,,,
8,,1299,-0.6187644004821777,-6.601978778839111,
,0.0001,1349,,,
8,,1349,-0.5458884239196777,-6.545075416564941,
,0.0001,1399,,,
8,,1399,-0.7474959492683411,-6.566699981689453,
8,,1412,,,-6.393990993499756
,0.0001,1449,,,
9,,1449,-0.606637716293335,-6.50874137878418,
,0.0001,1499,,,
9,,1499,-0.5643224716186523,-6.510099411010742,
,0.0001,1549,,,
9,,1549,-0.5176054239273071,-6.5151801109313965,
9,,1569,,,-6.354738235473633
,0.0001,1599,,,
10,,1599,-0.5208350419998169,-6.509331703186035,
,0.0001,1649,,,
10,,1649,-0.49694395065307617,-6.497546195983887,
,0.0001,1699,,,
10,,1699,-0.43559640645980835,-6.480002403259277,
10,,1726,,,-6.33146858215332
,0.0001,1749,,,
11,,1749,-0.4676397442817688,-6.460302829742432,
,0.0001,1799,,,
11,,1799,-0.49741697311401367,-6.45454216003418,
,0.0001,1849,,,
11,,1849,-0.4089561700820923,-6.4009904861450195,
11,,1883,,,-6.303444862365723
,0.0001,1899,,,
12,,1899,-0.5029932260513306,-6.431533336639404,
,0.0001,1949,,,
12,,1949,-0.4666804075241089,-6.407864570617676,
,0.0001,1999,,,
12,,1999,-0.4681068956851959,-6.411128997802734,
12,,2040,,,-6.294459819793701
,0.0001,2049,,,
13,,2049,-0.36750364303588867,-6.389116287231445,
,0.0001,2099,,,
13,,2099,-0.43079906702041626,-6.423625946044922,
,0.0001,2149,,,
13,,2149,-0.4070369005203247,-6.35407829284668,
13,,2197,,,-6.273176670074463
,0.0001,2199,,,
14,,2199,-0.4383106827735901,-6.358354568481445,
,0.0001,2249,,,
14,,2249,-0.4327986538410187,-6.338353157043457,
,0.0001,2299,,,
14,,2299,-0.3873865008354187,-6.381838798522949,
,0.0001,2349,,,
14,,2349,-0.3560263514518738,-6.3763651847839355,
14,,2354,,,-6.260595798492432
,0.0001,2399,,,
15,,2399,-0.38689714670181274,-6.356344223022461,
,0.0001,2449,,,
15,,2449,-0.39960813522338867,-6.332324981689453,
,0.0001,2499,,,
15,,2499,-0.38170701265335083,-6.351812362670898,
15,,2511,,,-6.251384735107422
,0.0001,2549,,,
16,,2549,-0.39133548736572266,-6.319827079772949,
,0.0001,2599,,,
16,,2599,-0.32712963223457336,-6.298916816711426,
,0.0001,2649,,,
16,,2649,-0.3415760397911072,-6.352101802825928,
16,,2668,,,-6.246045112609863
,0.0001,2699,,,
17,,2699,-0.37724363803863525,-6.3351640701293945,
,0.0001,2749,,,
17,,2749,-0.3318362534046173,-6.339079856872559,
,0.0001,2799,,,
17,,2799,-0.39208394289016724,-6.3400115966796875,
17,,2825,,,-6.234492301940918
,0.0001,2849,,,
18,,2849,-0.3307787775993347,-6.338502883911133,
,0.0001,2899,,,
18,,2899,-0.39562398195266724,-6.337136745452881,
,0.0001,2949,,,
18,,2949,-0.36254072189331055,-6.298578262329102,
18,,2982,,,-6.222278594970703
,0.0001,2999,,,
19,,2999,-0.2942349910736084,-6.285722732543945,
,0.0001,3049,,,
19,,3049,-0.2893484830856323,-6.270530700683594,
,0.0001,3099,,,
19,,3099,-0.4416314661502838,-6.316765308380127,
19,,3139,,,-6.217555522918701
,0.0001,3149,,,
20,,3149,-0.3213586211204529,-6.2928032875061035,
,0.0001,3199,,,
20,,3199,-0.3279321789741516,-6.325901985168457,
,0.0001,3249,,,
20,,3249,-0.38544440269470215,-6.290805816650391,
20,,3296,,,-6.208247661590576
,0.0001,3299,,,
21,,3299,-0.36356639862060547,-6.313272953033447,
,0.0001,3349,,,
21,,3349,-0.3176271915435791,-6.256039619445801,
,0.0001,3399,,,
21,,3399,-0.30382484197616577,-6.312422752380371,
,0.0001,3449,,,
21,,3449,-0.31343090534210205,-6.273861885070801,
21,,3453,,,-6.194702625274658
,0.0001,3499,,,
22,,3499,-0.34880611300468445,-6.243608474731445,
,0.0001,3549,,,
22,,3549,-0.36219480633735657,-6.315324783325195,
,0.0001,3599,,,
22,,3599,-0.28007614612579346,-6.304193019866943,
22,,3610,,,-6.194165229797363
,0.0001,3649,,,
23,,3649,-0.3385964334011078,-6.226495742797852,
,0.0001,3699,,,
23,,3699,-0.26403358578681946,-6.246491432189941,
,0.0001,3749,,,
23,,3749,-0.33586233854293823,-6.314932823181152,
23,,3767,,,-6.187385559082031
,0.0001,3799,,,
24,,3799,-0.3167845606803894,-6.273158073425293,
,0.0001,3849,,,
24,,3849,-0.27746984362602234,-6.261977195739746,
,0.0001,3899,,,
24,,3899,-0.3007744550704956,-6.281703948974609,
24,,3924,,,-6.175245761871338
,0.0001,3949,,,
25,,3949,-0.2954738736152649,-6.258977890014648,
,0.0001,3999,,,
25,,3999,-0.28832370042800903,-6.230086803436279,
,0.0001,4049,,,
25,,4049,-0.2998586893081665,-6.269012451171875,
25,,4081,,,-6.174410343170166
,0.0001,4099,,,
26,,4099,-0.3062083423137665,-6.237577438354492,
,0.0001,4149,,,
26,,4149,-0.311153382062912,-6.2378129959106445,
,0.0001,4199,,,
26,,4199,-0.28630226850509644,-6.231562614440918,
26,,4238,,,-6.166165351867676
,0.0001,4249,,,
27,,4249,-0.2929416298866272,-6.247264862060547,
,0.0001,4299,,,
27,,4299,-0.3790335953235626,-6.297044277191162,
,0.0001,4349,,,
27,,4349,-0.2886897921562195,-6.198078155517578,
27,,4395,,,-6.156589031219482
,0.0001,4399,,,
28,,4399,-0.2939792275428772,-6.205028057098389,
,0.0001,4449,,,
28,,4449,-0.28945785760879517,-6.260552406311035,
,0.0001,4499,,,
28,,4499,-0.25562965869903564,-6.225264549255371,
,0.0001,4549,,,
28,,4549,-0.27370166778564453,-6.222781658172607,
28,,4552,,,-6.156115531921387
,0.0001,4599,,,
29,,4599,-0.2800566554069519,-6.211361885070801,
,0.0001,4649,,,
29,,4649,-0.326180636882782,-6.268378734588623,
,0.0001,4699,,,
29,,4699,-0.31406041979789734,-6.210253715515137,
29,,4709,,,-6.147800445556641
,0.0001,4749,,,
30,,4749,-0.22567783296108246,-6.212388515472412,
,0.0001,4799,,,
30,,4799,-0.25975027680397034,-6.254576683044434,
,0.0001,4849,,,
30,,4849,-0.3265753388404846,-6.199710845947266,
30,,4866,,,-6.1484599113464355
,0.0001,4899,,,
31,,4899,-0.31819772720336914,-6.217236518859863,
,0.0001,4949,,,
31,,4949,-0.3181487023830414,-6.205443382263184,
,0.0001,4999,,,
31,,4999,-0.35896623134613037,-6.229591369628906,
31,,5023,,,-6.136263847351074
,0.0001,5049,,,
32,,5049,-0.32813799381256104,-6.199687957763672,
,0.0001,5099,,,
32,,5099,-0.2441467046737671,-6.220317840576172,
,0.0001,5149,,,
32,,5149,-0.2420302927494049,-6.197350025177002,
32,,5180,,,-6.132328510284424
,0.0001,5199,,,
33,,5199,-0.24070104956626892,-6.1918625831604,
,0.0001,5249,,,
33,,5249,-0.26047399640083313,-6.194182395935059,
,0.0001,5299,,,
33,,5299,-0.2495306432247162,-6.170795917510986,
33,,5337,,,-6.122100353240967
,0.0001,5349,,,
34,,5349,-0.27530035376548767,-6.207452297210693,
,0.0001,5399,,,
34,,5399,-0.2707800269126892,-6.225841522216797,
,0.0001,5449,,,
34,,5449,-0.2707521915435791,-6.162378787994385,
34,,5494,,,-6.115882873535156
,0.0001,5499,,,
35,,5499,-0.26996344327926636,-6.177426338195801,
,0.0001,5549,,,
35,,5549,-0.2468215525150299,-6.191944599151611,
,0.0001,5599,,,
35,,5599,-0.24477623403072357,-6.21942138671875,
,0.0001,5649,,,
35,,5649,-0.26773086190223694,-6.1740264892578125,
35,,5651,,,-6.116134166717529
,0.0001,5699,,,
36,,5699,-0.26193341612815857,-6.176731109619141,
,0.0001,5749,,,
36,,5749,-0.3011116087436676,-6.195138931274414,
,0.0001,5799,,,
36,,5799,-0.29722195863723755,-6.199854850769043,
36,,5808,,,-6.116021156311035
,0.0001,5849,,,
37,,5849,-0.25455841422080994,-6.203845024108887,
,0.0001,5899,,,
37,,5899,-0.289309561252594,-6.135749816894531,
,0.0001,5949,,,
37,,5949,-0.3288666605949402,-6.193720817565918,
37,,5965,,,-6.113656044006348
,0.0001,5999,,,
38,,5999,-0.24066655337810516,-6.184287071228027,
,0.0001,6049,,,
38,,6049,-0.25472158193588257,-6.161587238311768,
,0.0001,6099,,,
38,,6099,-0.22443783283233643,-6.21562385559082,
38,,6122,,,-6.103546619415283
,0.0001,6149,,,
39,,6149,-0.23823370039463043,-6.17873477935791,
,0.0001,6199,,,
39,,6199,-0.2546621859073639,-6.227664470672607,
,0.0001,6249,,,
39,,6249,-0.2480378895998001,-6.170001029968262,
39,,6279,,,-6.09595251083374
,0.0001,6299,,,
40,,6299,-0.24522998929023743,-6.1688947677612305,
,0.0001,6349,,,
40,,6349,-0.2511175870895386,-6.170583724975586,
,0.0001,6399,,,
40,,6399,-0.27227458357810974,-6.11905574798584,
40,,6436,,,-6.090076923370361
,0.0001,6449,,,
41,,6449,-0.25281593203544617,-6.143373966217041,
,0.0001,6499,,,
41,,6499,-0.28737545013427734,-6.1328840255737305,
,0.0001,6549,,,
41,,6549,-0.337299644947052,-6.138953685760498,
41,,6593,,,-6.080589294433594
,0.0001,6599,,,
42,,6599,-0.23832255601882935,-6.161768913269043,
,0.0001,6649,,,
42,,6649,-0.3450342118740082,-6.138771057128906,
,0.0001,6699,,,
42,,6699,-0.3169323801994324,-6.160021781921387,
,0.0001,6749,,,
42,,6749,-0.2784935534000397,-6.148186683654785,
42,,6750,,,-6.064043998718262
,0.0001,6799,,,
43,,6799,-0.32008635997772217,-6.15648889541626,
,0.0001,6849,,,
43,,6849,-0.3182183504104614,-6.129845142364502,
,0.0001,6899,,,
43,,6899,-0.32546523213386536,-6.11212158203125,
43,,6907,,,-6.043789863586426
,0.0001,6949,,,
44,,6949,-0.29336458444595337,-6.12560510635376,
,0.0001,6999,,,
44,,6999,-0.2814590632915497,-6.1136579513549805,
,0.0001,7049,,,
44,,7049,-0.3097926676273346,-6.121715545654297,
44,,7064,,,-6.033850193023682
,0.0001,7099,,,
45,,7099,-0.2775692939758301,-6.06965446472168,
,0.0001,7149,,,
45,,7149,-0.35362863540649414,-6.1176042556762695,
,0.0001,7199,,,
45,,7199,-0.2842041254043579,-6.10058069229126,
45,,7221,,,-6.019497871398926
,0.0001,7249,,,
