epoch,lr-Adam,step,train/loss,train/reward,val/reward
,0.0001,49,,,
0,,49,-3.015747547149658,-8.605964660644531,
,0.0001,99,,,
0,,99,-2.1127748489379883,-7.847134590148926,
,0.0001,149,,,
0,,149,-2.0110368728637695,-7.542999744415283,
0,,156,,,-6.916431903839111
,0.0001,199,,,
1,,199,-1.9909329414367676,-7.399467945098877,
,0.0001,249,,,
1,,249,-1.9260720014572144,-7.266177654266357,
,0.0001,299,,,
1,,299,-1.3876054286956787,-7.215234756469727,
1,,313,,,-6.756854057312012
,0.0001,349,,,
2,,349,-1.3936352729797363,-7.0610032081604,
,0.0001,399,,,
2,,399,-1.7055377960205078,-7.072485446929932,
,0.0001,449,,,
2,,449,-1.4867464303970337,-7.0184783935546875,
2,,470,,,-6.635554790496826
,0.0001,499,,,
3,,499,-1.2807908058166504,-6.9844560623168945,
,0.0001,549,,,
3,,549,-1.174408197402954,-6.904422283172607,
,0.0001,599,,,
3,,599,-1.2393810749053955,-6.926076889038086,
3,,627,,,-6.5612688064575195
,0.0001,649,,,
4,,649,-1.0467860698699951,-6.842098236083984,
,0.0001,699,,,
4,,699,-1.1612910032272339,-6.836863994598389,
,0.0001,749,,,
4,,749,-1.044759750366211,-6.7774977684021,
4,,784,,,-6.518486499786377
,0.0001,799,,,
5,,799,-1.0571348667144775,-6.783271312713623,
,0.0001,849,,,
5,,849,-1.0304598808288574,-6.781395435333252,
,0.0001,899,,,
5,,899,-0.9910883903503418,-6.7506256103515625,
5,,941,,,-6.464854717254639
,0.0001,949,,,
6,,949,-0.8839571475982666,-6.712558746337891,
,0.0001,999,,,
6,,999,-0.9066272974014282,-6.667757034301758,
,0.0001,1049,,,
6,,1049,-0.8091706037521362,-6.602728843688965,
6,,1098,,,-6.435895919799805
,0.0001,1099,,,
7,,1099,-0.738051176071167,-6.610990524291992,
,0.0001,1149,,,
7,,1149,-0.7374988794326782,-6.620938301086426,
,0.0001,1199,,,
7,,1199,-0.7492724657058716,-6.64491081237793,
,0.0001,1249,,,
7,,1249,-0.6913425922393799,-6.571112632751465,
7,,1255,,,-6.3947834968566895
,0.0001,1299,,,
8,,1299,-0.5732864141464233,-6.546574592590332,
,0.0001,1349,,,
8,,1349,-0.5450419187545776,-6.503606796264648,
,0.0001,1399,,,
8,,1399,-0.6574472188949585,-6.516446590423584,
8,,1412,,,-6.363104820251465
,0.0001,1449,,,
9,,1449,-0.5319284796714783,-6.476378917694092,
,0.0001,1499,,,
9,,1499,-0.5184797048568726,-6.4674859046936035,
,0.0001,1549,,,
9,,1549,-0.5563228726387024,-6.479405879974365,
9,,1569,,,-6.3308844566345215
,0.0001,1599,,,
10,,1599,-0.5481033325195312,-6.476250648498535,
